"","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP"
"3156",93794,"Fresno County","CA",6019,"H1"
"3157",93744,"Fresno County","CA",6019,"H1"
"3158",93652,"Fresno County","CA",6019,"H1"
"3159",93790,"Fresno County","CA",6019,"H1"
"3160",93760,"Fresno County","CA",6019,"H1"
"3161",93772,"Fresno County","CA",6019,"H1"
"3162",93793,"Fresno County","CA",6019,"H1"
"3163",93634,"Fresno County","CA",6019,"H1"
"3164",93765,"Fresno County","CA",6019,"H1"
"3165",93647,"Fresno County","CA",6019,"H1"
"3166",93619,"Fresno County","CA",6019,"H1"
"3167",93612,"Fresno County","CA",6019,"H1"
"3168",93631,"Fresno County","CA",6019,"H1"
"3169",93728,"Fresno County","CA",6019,"H1"
"3170",93660,"Fresno County","CA",6019,"H1"
"3171",93651,"Fresno County","CA",6019,"H1"
"3172",93771,"Fresno County","CA",6019,"H1"
"3173",93778,"Fresno County","CA",6019,"H1"
"3174",93740,"Fresno County","CA",6019,"H1"
"3175",93210,"Fresno County","CA",6019,"H1"
"3176",93704,"Fresno County","CA",6019,"H1"
"3177",93711,"Fresno County","CA",6019,"H1"
"3178",93725,"Fresno County","CA",6019,"H1"
"3179",93730,"Fresno County","CA",6019,"H1"
"3180",93724,"Fresno County","CA",6019,"H1"
"3181",93714,"Fresno County","CA",6019,"H1"
"3182",93715,"Fresno County","CA",6019,"H1"
"3183",93791,"Fresno County","CA",6019,"H1"
"3184",93606,"Fresno County","CA",6019,"H1"
"3185",93642,"Fresno County","CA",6019,"H1"
"3186",93605,"Fresno County","CA",6019,"H1"
"3187",93242,"Fresno County","CA",6019,"H1"
"3188",93611,"Fresno County","CA",6019,"H1"
"3189",93626,"Fresno County","CA",6019,"H1"
"3190",93705,"Fresno County","CA",6019,"H1"
"3191",93722,"Fresno County","CA",6019,"H1"
"3192",93720,"Fresno County","CA",6019,"H1"
"3193",93729,"Fresno County","CA",6019,"H1"
"3194",93755,"Fresno County","CA",6019,"H1"
"3195",93776,"Fresno County","CA",6019,"H1"
"3196",93716,"Fresno County","CA",6019,"H1"
"3197",93764,"Fresno County","CA",6019,"H1"
"3198",93649,"Fresno County","CA",6019,"H1"
"3199",93621,"Fresno County","CA",6019,"H1"
"3200",93667,"Fresno County","CA",6019,"H1"
"3201",93675,"Fresno County","CA",6019,"H1"
"3202",93657,"Fresno County","CA",6019,"H1"
"3203",93727,"Fresno County","CA",6019,"H1"
"3204",93702,"Fresno County","CA",6019,"H1"
"3205",93641,"Fresno County","CA",6019,"H1"
"3206",93712,"Fresno County","CA",6019,"H1"
"3207",93779,"Fresno County","CA",6019,"H1"
"3208",95951,"Glenn County","CA",6021,"H1"
"3209",95913,"Glenn County","CA",6021,"H1"
"3210",95939,"Glenn County","CA",6021,"H1"
"3211",95988,"Glenn County","CA",6021,"H1"
"3212",95943,"Glenn County","CA",6021,"H1"
"3213",95920,"Glenn County","CA",6021,"H1"
"3214",95970,"Glenn County","CA",6021,"H1"
"3215",95963,"Glenn County","CA",6021,"H1"
"3216",95540,"Humboldt County","CA",6023,"H1"
"3217",95502,"Humboldt County","CA",6023,"H1"
"3218",95549,"Humboldt County","CA",6023,"H1"
"3219",95551,"Humboldt County","CA",6023,"H1"
"3220",95589,"Humboldt County","CA",6023,"H1"
"3221",95528,"Humboldt County","CA",6023,"H1"
"3222",95519,"Humboldt County","CA",6023,"H1"
"3223",95521,"Humboldt County","CA",6023,"H1"
"3224",95546,"Humboldt County","CA",6023,"H1"
"3225",95536,"Humboldt County","CA",6023,"H1"
"3226",95558,"Humboldt County","CA",6023,"H1"
"3227",95537,"Humboldt County","CA",6023,"H1"
"3228",95565,"Humboldt County","CA",6023,"H1"
